scanner_rs,kingfisher,trufflehog,gitleaks
1password-secret-key,yes,,1password-secret-key
1password-service-account-token,yes,,1password-service-account-token
adafruit-api-key,yes,AdafruitIO,adafruit-api-key
adobe-client-id,yes,AdobeIO,adobe-client-id
adobe-client-secret,yes,AdobeIO,adobe-client-secret
age-secret-key,yes,,age-secret-key
airtable-api-key,yes,AirtableApiKey,airtable-api-key
airtable-personnal-access-token,yes,AirtableApiKey,airtable-personnal-access-token
algolia-api-key,yes,AlgoliaAdminKey,algolia-api-key
alibaba-access-key-id,yes,Alibaba,alibaba-access-key-id
alibaba-secret-key,yes,Alibaba,alibaba-secret-key
anthropic-admin-api-key,yes,Anthropic,anthropic-admin-api-key
anthropic-api-key,yes,Anthropic,anthropic-api-key
artifactory-api-key,yes,ArtifactoryAccessToken,artifactory-api-key
artifactory-reference-token,yes,ArtifactoryAccessToken,artifactory-reference-token
asana-client-id,yes,AsanaOauth,asana-client-id
asana-client-secret,yes,AsanaOauth,asana-client-secret
atlassian-api-token,yes,,atlassian-api-token
authress-service-client-access-key,yes,,authress-service-client-access-key
aws-access-token,yes,AWS,aws-access-token
aws-amazon-bedrock-api-key-long-lived,yes,,aws-amazon-bedrock-api-key-long-lived
aws-amazon-bedrock-api-key-short-lived,yes,,aws-amazon-bedrock-api-key-short-lived
azure-ad-client-secret,yes,Azure,azure-ad-client-secret
beamer-api-token,yes,Beamer,beamer-api-token
bitbucket-client-id,yes,BitbucketAppPassword,bitbucket-client-id
bitbucket-client-secret,yes,BitbucketAppPassword,bitbucket-client-secret
bittrex-access-key,yes,,bittrex-access-key
bittrex-secret-key,yes,,bittrex-secret-key
cisco-meraki-api-key,yes,,cisco-meraki-api-key
clickhouse-cloud-api-secret-key,yes,,clickhouse-cloud-api-secret-key
clojars-api-token,yes,,clojars-api-token
cloudflare-api-key,yes,CloudflareApiToken,cloudflare-api-key
cloudflare-global-api-key,yes,CloudflareGlobalApiKey,cloudflare-global-api-key
cloudflare-origin-ca-key,yes,CloudflareApiToken,cloudflare-origin-ca-key
codecov-access-token,yes,,codecov-access-token
cohere-api-token,yes,,cohere-api-token
coinbase-access-token,yes,Coinbase,coinbase-access-token
confluent-access-token,yes,Confluent,confluent-access-token
confluent-secret-key,yes,Confluent,confluent-secret-key
contentful-delivery-api-token,yes,ContentfulPersonalAccessToken,contentful-delivery-api-token
curl-auth-header,yes,,curl-auth-header
curl-auth-user,yes,,curl-auth-user
databricks-api-token,yes,DatabricksToken,databricks-api-token
datadog-access-token,yes,DatadogToken,datadog-access-token
defined-networking-api-token,yes,,defined-networking-api-token
digitalocean-access-token,yes,DigitalOceanToken,digitalocean-access-token
digitalocean-pat,yes,DigitalOceanToken,digitalocean-pat
digitalocean-refresh-token,yes,DigitalOceanToken,digitalocean-refresh-token
discord-api-token,yes,DiscordBotToken,discord-api-token
discord-client-id,yes,,discord-client-id
discord-client-secret,yes,,discord-client-secret
doppler-api-token,yes,Doppler,doppler-api-token
droneci-access-token,yes,DroneCI,droneci-access-token
dropbox-api-token,yes,Dropbox,dropbox-api-token
dropbox-long-lived-api-token,yes,Dropbox,dropbox-long-lived-api-token
dropbox-short-lived-api-token,yes,Dropbox,dropbox-short-lived-api-token
duffel-api-token,yes,,duffel-api-token
dynatrace-api-token,yes,,dynatrace-api-token
easypost-api-token,yes,,easypost-api-token
easypost-test-api-token,yes,,easypost-test-api-token
etsy-access-token,yes,EtsyApiKey,etsy-access-token
facebook-access-token,yes,FacebookOAuth,facebook-access-token
facebook-page-access-token,yes,FacebookOAuth,facebook-page-access-token
facebook-secret,yes,FacebookOAuth,facebook-secret
fastly-api-token,yes,FastlyPersonalToken,fastly-api-token
finicity-api-token,yes,,finicity-api-token
finicity-client-secret,yes,,finicity-client-secret
finnhub-access-token,yes,Finnhub,finnhub-access-token
flickr-access-token,yes,Flickr,flickr-access-token
flutterwave-encryption-key,yes,Flutterwave,flutterwave-encryption-key
flutterwave-public-key,yes,Flutterwave,flutterwave-public-key
flutterwave-secret-key,yes,Flutterwave,flutterwave-secret-key
flyio-access-token,yes,FlyIO,flyio-access-token
frameio-api-token,yes,FrameIO,frameio-api-token
freemius-secret-key,yes,,freemius-secret-key
freshbooks-access-token,yes,Freshbooks,freshbooks-access-token
gcp-api-key,yes,GCP,gcp-api-key
generic-api-key,yes,,generic-api-key
github-app-token,yes,GitHubApp,github-app-token
github-fine-grained-pat,yes,Github,github-fine-grained-pat
github-oauth,yes,Github,github-oauth
github-pat,yes,Github,github-pat
github-refresh-token,yes,Github,github-refresh-token
gitlab-cicd-job-token,yes,Gitlab,gitlab-cicd-job-token
gitlab-deploy-token,yes,Gitlab,gitlab-deploy-token
gitlab-feature-flag-client-token,yes,Gitlab,gitlab-feature-flag-client-token
gitlab-feed-token,yes,Gitlab,gitlab-feed-token
